cod_ref	bib_ref	distigme_sampled	bar_sampled	background_sampled	distigme	distigme_loc	bar	bar_tot_length	bar_prot_length	gap	gap_loc	gap_length	trail	trail_length	high_dot	par_break	verse_break	Swan.ECM_avail	var_in_line	var_type	var_ref	notes
1482.C.40	2 Cor. 8:7			1	0		0			0			0		0	0	0	0	0			
1483.B.12	2 Cor. 8:18	1		0	1	L	0			0			0		0	0	0	0	1	T4	NA28.568	
1483.B.22	2 Cor. 8:19b	1		0	1	L	0			0			0		0	0	0	0	0			
1483.C.29	2 Cor. 9:4a			1	0		0			0			0		0	0	0	0	0			
1483.C.33	2 Cor. 9:4b	1		0	1	R;L	0			0			1	5	1	0	0	0	1	A2	NA28.569	
1484.A.11	2 Cor. 9:7		1	0	0		1	4	1.5	0			0		1	0	1	0	0			
1484.A.32	2 Cor. 9:11			1	0		0			0			0		0	0	0	0	1	R1	NA28.569	
1484.A.36	2 Cor. 9:12			1	0		0			0			0		0	0	0	0	0			
1484.C.20	2 Cor. 10:10	0		1	1	L	0			0			0		0	0	0	0	1	T2; MC	NA28.571	
1484.C.9	2 Cor. 10:7	1		0	1	L	0			0			0		1	0	0	0	1	A1/MC	NA28.570	
1485.A.19	2 Cor. 10:17			1	0		0			0			0		0	0	0	0	0			
1485.B.13	2 Cor. 11:7			1	0		0			0			0		0	0	0	0	0			
1485.B.36	2 Cor. 11:12			1	0		0			0			0		0	0	0	0	0			
1485.B.5	2 Cor. 11:5			1	0		0			0			0		0	0	0	0	0			
1485.C.26	2 Cor. 11:19-20			1	0		0			0			0		1	0	1	0	0			
1485.C.34	2 Cor. 11:21	1		0	1	R	0			0			0		1	1	0	0	1	MC	NA28.573	
1486.C.12	2 Cor. 12:9b			1	0		0			0			0		0	0	0	0	0			
1486.C.38	2 Cor. 12:14	1		0	1	L	0			0			0		0	1	0	0	1	O1	NA28.575	
1486.C.8	2 Cor. 12:9	1		0	1	L	0			0			0		0	0	0	0	1	A1	NA28.575	
1487.B.14	2 Cor. 13:2			1	0		0			0			0		0	0	0	0	1	O2	NA28.576	
1487.B.35	2 Cor. 13:7	1		0	1	L	0			0			0		0	0	0	0	1	MC	NA28.577	
1487.C.23	2 Cor. 13:12		1	0	0		1	4	1.5	0			1	18	1	1	0	0	0			
1488.A.21	Gal. 1:5-6		1	0	0		1	4.5	2	1	M	8	0		1	1	1	1	1	O1; A1	Swanson.3	
1488.A.40	Gal. 1:9-10			1	0		0			1	M	2	0		1	1	1	1	1	O15; MC	Swanson.5-6	
1488.B.27	Gal. 1:15	1		0	1	L	0			0			0		0	M	0	1	1	A2	NA28.579	
1488.C.41	Gal. 2:4			1	0		0			0			0		0	0	0	1	1	R1	Swanson.16	
1489.A.20	Gal. 2:8	1		0	1	L	0			0			0		0	0	0	1	1	O3;T2;MC	Swanson.18	
1489.A.26	Gal. 2:9			1	0		0			0			0		0	0	0	1	1	T3;R1;O2	NA28.580	
1489.B.14	Gal. 2:14	1		0	1	L	0			0			0		0	0	0	1	1	R1	NA28.581	
1489.B.18	Gal. 2:14b			1	0		0			0			0		1	0	0	1	1	T4; R1	NA28.581	
1489.B.32	Gal. 2:16-17			1	0		0			0			0		1	0	1	1	1	R1	Swanson.26	
